Date,Open,High,Low,Close,Adj Close,Volume
03-01-2000,1.291667,1.291667,1.208333,1.270833,1.270833,76800
04-01-2000,1.229167,1.270833,1.229167,1.25,1.25,108900
05-01-2000,1.208333,1.208333,1.166667,1.1875,1.1875,359100
06-01-2000,1.1875,1.208333,1.166667,1.166667,1.166667,207300
07-01-2000,1.145833,1.208333,1.145833,1.208333,1.208333,228000
10-01-2000,1.1875,1.229167,1.145833,1.145833,1.145833,134700
11-01-2000,1.145833,1.145833,1.104167,1.125,1.125,248400
12-01-2000,1.125,1.145833,1.104167,1.125,1.125,213600
13-01-2000,1.145833,1.145833,1.104167,1.104167,1.104167,150900
14-01-2000,1.145833,1.145833,1.104167,1.104167,1.104167,171900
18-01-2000,1.104167,1.125,1.083333,1.125,1.125,111000
19-01-2000,1.104167,1.125,1.104167,1.104167,1.104167,94200
20-01-2000,1.125,1.1875,1.104167,1.166667,1.166667,549600
21-01-2000,1.166667,1.208333,1.166667,1.166667,1.166667,141600
24-01-2000,1.25,1.458333,1.208333,1.4375,1.4375,537300
25-01-2000,1.479167,1.520833,1.3125,1.4375,1.4375,584400
26-01-2000,1.479167,1.479167,1.375,1.395833,1.395833,249300
27-01-2000,1.416667,1.416667,1.3125,1.354167,1.354167,120900
28-01-2000,1.333333,1.333333,1.270833,1.291667,1.291667,132000
31-01-2000,1.3125,1.3125,1.25,1.3125,1.3125,80400
01-02-2000,1.270833,1.3125,1.25,1.3125,1.3125,132000
02-02-2000,1.291667,1.291667,1.25,1.270833,1.270833,96300
03-02-2000,1.3125,1.354167,1.25,1.333333,1.333333,261600
04-02-2000,1.354167,1.541667,1.333333,1.5,1.5,549600
07-02-2000,1.5,1.645833,1.5,1.645833,1.645833,378900
08-02-2000,1.666667,1.708333,1.583333,1.625,1.625,384000
09-02-2000,1.625,1.6875,1.625,1.645833,1.645833,372900
10-02-2000,1.666667,2.041667,1.666667,1.916667,1.916667,1512900
11-02-2000,1.979167,2.020833,1.916667,2.020833,2.020833,646200
14-02-2000,2.041667,2.5625,2.041667,2.520833,2.520833,1524900
15-02-2000,2.520833,2.541667,2.25,2.333333,2.333333,981900
16-02-2000,2.3125,2.3125,2.125,2.145833,2.145833,474000
17-02-2000,2.166667,2.1875,2.0625,2.0625,2.0625,167100
18-02-2000,2.0625,2.208333,2.041667,2.083333,2.083333,206700
22-02-2000,2.0625,2.1875,2.041667,2.1875,2.1875,237000
23-02-2000,2.208333,2.291667,2.208333,2.25,2.25,208200
24-02-2000,2.25,2.3125,2.208333,2.229167,2.229167,144000
25-02-2000,2.1875,2.208333,2.0625,2.104167,2.104167,282300
28-02-2000,2.166667,2.166667,2.0625,2.104167,2.104167,193200
29-02-2000,2.104167,2.104167,2.041667,2.0625,2.0625,116100
01-03-2000,2.0625,2.104167,2,2.083333,2.083333,294900
02-03-2000,2.104167,2.25,2.041667,2.1875,2.1875,263400
03-03-2000,2.145833,2.333333,2.145833,2.333333,2.333333,531900
06-03-2000,2.333333,2.4375,2.208333,2.208333,2.208333,698700
07-03-2000,2.208333,2.208333,2.020833,2.041667,2.041667,267600
08-03-2000,2.0625,2.0625,1.958333,1.979167,1.979167,157800
09-03-2000,2,2,1.854167,1.895833,1.895833,196500
10-03-2000,1.9375,1.979167,1.875,1.916667,1.916667,89100
13-03-2000,1.958333,1.979167,1.875,1.916667,1.916667,57900
14-03-2000,1.916667,2.083333,1.916667,1.9375,1.9375,224700
15-03-2000,1.979167,2.020833,1.9375,2.020833,2.020833,82500
16-03-2000,2.041667,2.125,2.020833,2.041667,2.041667,110400
17-03-2000,2.125,2.145833,2.0625,2.125,2.125,154200
20-03-2000,2.083333,2.229167,2.083333,2.229167,2.229167,239400
21-03-2000,2.1875,2.25,2.104167,2.104167,2.104167,112500
